FireYear,Plot,CanopyOpenness,Date
2009,S1,58.53,110619
2009,S1,55.73,110619
2009,S1,59.12,110619
2009,S1,51.46,110619
2009,S1,43.76,110619
2009,S1,51.71,110619
2009,S1,49.08,110619
2009,S1,56.96,110619
2009,S1,59.59,110619
2009,S1,45.36,110619
2009,S1,46.02,110619
2009,S1,48.72,110619
2009,S1,33.33,110619
2009,S1,30.81,110619
2009,S1,33.25,110619
2009,S1,62.72,120619
2009,S1,56.67,120619
2009,S1,62.87,120619
2009,S1,63.63,120619
2009,S1,49.02,120619
2009,S1,41.47,120619
2009,S1,56.22,120619
2009,S1,61.11,120619
2009,S1,54.86,120619
2009,S1,28.51,120619
2009,S1,34.04,120619
2009,S1,51.12,120619
2009,F1,25.71,130619
2009,F1,24.04,130619
2009,F1,16.5,130619
2009,F1,18.71,130619
2009,F1,21.32,130619
2009,F1,20.23,130619
2009,F1,16.77,130619
2009,F1,23.47,130619
2009,F1,37.26,130619
2009,F1,25.2,130619
2009,F1,37.56,130619
2009,F1,13.21,130619
2009,F2,18.76,140619
2009,F2,43.91,140619
2009,F2,40.84,140619
2009,F2,30.53,140619
2009,F2,34.81,140619
2009,F2,38.47,140619
2009,F2,30.7,140619
2009,F2,40.79,140619
2009,F2,46.67,140619
2009,F2,33.09,140619
2009,F2,19.75,140619
2009,S2,70.49,150619
2009,S2,73.88,150619
2009,S2,71.16,150619
2009,S2,70.66,150619
2009,S2,81.48,150619
2009,S2,77.98,150619
2009,S2,75.7,150619
2009,S2,65.82,150619
2009,S2,76.49,150619
2009,S2,73.5,150619
2009,S2,76.44,150619
2009,S2,69.89,150619
2009,S3,51.94,150619
2009,S3,54.62,150619
2009,S3,58.61,150619
2009,S3,55.53,150619
2009,S3,65.05,150619
2009,S3,63.4,150619
2009,S3,56.53,150619
2009,S3,57.04,150619
2009,S3,60.59,150619
2009,S3,48.42,150619
2009,S3,54.51,150619
2009,S3,56.23,150619
2009,S1,51.31,160619
2009,S1,49.02,160619
2009,S1,39.35,160619
2009,S1,49.61,160619
2009,S1,48.62,160619
2009,S1,50.76,160619
2009,S1,46.64,160619
2009,S1,18.79,160619
2009,S1,23.24,160619
2009,S1,58.87,160619
2009,S1,56.85,160619
2009,S1,58.5,160619
2010,F1,37.52,190619
2010,F1,28.34,190619
2010,F1,41.02,190619
2010,F1,52.5,190619
2010,F1,50.68,190619
2010,F1,45.99,190619
2010,F1,36.31,190619
2010,F1,46.72,190619
2010,F1,50.18,190619
