FireYear,Plot,SiteLat,SiteLon,SiteType,TrapJulian,Trap,TrapLat,TrapLon,HoursOut,Round,Bear
2009,F1,52.53099,-125.79902,Forest,165.5,BV1,52.531,-125.7993,69.3,1,0
2009,F1,52.53099,-125.79902,Forest,165.5,BV2,52.53084,-125.79886,69.25,1,0
2009,F1,52.53099,-125.79902,Forest,165.5,BV3,52.53111,-125.79876,69.23333333,1,0
2009,F1,52.53099,-125.79902,Forest,203,BV1,52.531,-125.7993,97.66666667,2,0
2009,F1,52.53099,-125.79902,Forest,203,BV2,52.53084,-125.79886,97.63333333,2,0
2009,F1,52.53099,-125.79902,Forest,203,BV3,52.53111,-125.79876,97.71666667,2,0
2009,F2,52.55275,-125.83483,Forest,166,BV1,52.55274,-125.83507,48.96666667,1,0
2009,F2,52.55275,-125.83483,Forest,166,BV2,52.55267,-125.83459,48.8,1,0
2009,F2,52.55275,-125.83483,Forest,166,BV3,52.55289,-125.83459,48.88333333,1,0
2009,F2,52.55275,-125.83483,Forest,203,BV1,52.55274,-125.83507,92.61666667,2,0
2009,F2,52.55275,-125.83483,Forest,203,BV2,52.55267,-125.83459,92.66666667,2,0
2009,F2,52.55275,-125.83483,Forest,203,BV3,52.55289,-125.83459,92.73333333,2,0
2009,F3,52.54105,-125.841442,Forest,190.5,BV1,52.541292,-125.841281,71.06666667,1,0
2009,F3,52.54105,-125.841442,Forest,190.5,BV2,52.540861,-125.841242,71,1,0
2009,F3,52.54105,-125.841442,Forest,190.5,BV3,52.541111,-125.841815,71.25,1,0
2009,F3,52.54105,-125.841442,Forest,224.5,BV1,52.541292,-125.841281,70.5,2,0
2009,F3,52.54105,-125.841442,Forest,224.5,BV2,52.540861,-125.841242,70.56666667,2,0
2009,F3,52.54105,-125.841442,Forest,224.5,BV3,52.541111,-125.841815,70.66666667,2,0
2009,F4,52.544143,-125.863062,Forest,190.5,BV1,52.54397,-125.86293,68.08333333,1,0
2009,F4,52.544143,-125.863062,Forest,190.5,BV2,52.544313,-125.862883,68,1,0
2009,F4,52.544143,-125.863062,Forest,190.5,BV3,52.544185,-125.863362,68.16666667,1,0
2009,F4,52.544143,-125.863062,Forest,224.5,BV1,52.54397,-125.86293,70.13333333,2,0
2009,F4,52.544143,-125.863062,Forest,224.5,BV2,52.544313,-125.862883,70.26666667,2,0
2009,F4,52.544143,-125.863062,Forest,224.5,BV3,52.544185,-125.863362,70.31666667,2,0
2009,S1,52.54114,-125.78905,Fire,165.5,BV1,52.54117,-125.78946,72.21666667,1,0
2009,S1,52.54114,-125.78905,Fire,165.5,BV2,52.54108,-125.7888,72.26666667,1,0
2009,S1,52.54114,-125.78905,Fire,165.5,BV3,52.54136,-125.78908,72.05,1,0
2009,S1,52.54114,-125.78905,Fire,203.5,BV1,52.54117,-125.78946,70.81666667,2,0
2009,S1,52.54114,-125.78905,Fire,203.5,BV2,52.54108,-125.7888,70.85,2,0
