FireYear,Plot,SiteType,Day,Month,Round,Transect,PlantCommonName,PlantLatinName,FlowerCount,PlantCount,OutsideTransectCount
2009,S1,Fire,11,6,1,East,Utah honeysuckle,Lonicera utahensis,23,1,1
2009,S1,Fire,11,6,1,East,arctic lupin,Lupinus arcticus ,21,1,1
2009,S1,Fire,11,6,1,East,pink mountain heather,Phyllodoce empetriformis,248,3,1
2009,S1,Fire,11,6,1,East,tiny vaccinium ,Vaccinium caespitosum,174,40,1
2009,S1,Fire,11,6,1,West,Arnica,Arnica sp.,1,1,1
2009,S1,Fire,11,6,1,West,alpine buttercup,Ranunculus escholtzii,3,3,1
2009,S1,Fire,11,6,1,West,yellow violet,Viola sempervirens,1,1,1
2009,S1,Fire,11,6,1,West,tiny vaccinium ,Vaccinium caespitosum,133,32,1
2009,S1,Fire,12,6,1,North,tiny vaccinium ,Vaccinium caespitosum,28,7,1
2009,S1,Fire,12,6,1,North,Utah honeysuckle,Lonicera utahensis,400,8,1
2009,S1,Fire,12,6,1,North,arctic lupin,Lupinus arcticus ,2,1,1
2009,S1,Fire,12,6,1,South,tiny vaccinium ,Vaccinium caespitosum,258,54,1
2009,F1,Forest,13,6,1,North,yellow violet,Viola sempervirens,45,33,0
2009,F1,Forest,13,6,1,North,Utah honeysuckle,Lonicera utahensis,2,1,0
2009,F1,Forest,13,6,1,East,yellow violet,Viola sempervirens,1,1,0
2009,F1,Forest,13,6,1,South,pink mountain heather,Phyllodoce empetriformis,6,3,0
2009,F1,Forest,13,6,1,South,yellow violet,Viola sempervirens,28,28,0
2009,F1,Forest,13,6,1,West,pink mountain heather,Phyllodoce empetriformis,20,7,0
2009,F2,Forest,14,6,1,North,white mountain heather,Cassiope mertensiana,368,41,0
2009,F2,Forest,14,6,1,West,NA,NA,0,0,0
2009,F2,Forest,14,6,1,South,NA,NA,0,0,0
2009,F2,Forest,14,6,1,East,NA,NA,0,0,0
2009,S2,Fire,15,6,1,West,tiny vaccinium ,Vaccinium caespitosum,23,9,6
2009,S2,Fire,15,6,1,East,Dandelion,Taraxacum officinale,1,1,6
2009,S2,Fire,15,6,1,East,tiny vaccinium ,Vaccinium caespitosum,16,5,6
2009,S2,Fire,15,6,1,North,tiny vaccinium ,Vaccinium caespitosum,536,64,6
2009,S2,Fire,15,6,1,North,arctic lupin,Lupinus arcticus ,1,1,6
2009,S2,Fire,15,6,1,South,tiny vaccinium ,Vaccinium caespitosum,117,21,6
2009,S2,Fire,15,6,1,South,Marsh Marigold,Caltha leptosepala,2,2,6
2009,S3,Fire,15,6,1,East,arctic lupin,Lupinus arcticus ,210,8,2
2009,S3,Fire,15,6,1,East,alpine buttercup,Ranunculus escholtzii,1,1,2
2009,S3,Fire,15,6,1,East,Sitka valerian,Valeriana sitchensis,110,14,2
2009,S3,Fire,15,6,1,East,tiny vaccinium ,Vaccinium caespitosum,4,3,2
2009,S3,Fire,15,6,1,South,arctic lupin,Lupinus arcticus ,78,2,2
2009,S3,Fire,15,6,1,South,Sitka valerian,Valeriana sitchensis,11,1,2
2009,S3,Fire,15,6,1,South,Diverse leaf cinquefoil,Potentilla diversifolia,14,1,2
2009,S3,Fire,15,6,1,South,tiny vaccinium ,Vaccinium caespitosum,196,36,2
2009,S3,Fire,15,6,1,South,Racemose pussytoes,Antennaria racemosa,461,81,2
2009,S3,Fire,15,6,1,South,arnica,Arnica sp.,6,6,2
2009,S3,Fire,15,6,1,West,arctic lupin,Lupinus arcticus ,73,4,2
2009,S3,Fire,15,6,1,West,Sitka valerian,Valeriana sitchensis,136,23,2
2009,S3,Fire,15,6,1,West,Purple violet,Viola adunca,8,8,2
2009,S3,Fire,15,6,1,West,tiny vaccinium ,Vaccinium caespitosum,53,13,2
2009,S3,Fire,15,6,1,West,Racemose pussytoes,Antennaria racemosa,328,74,2
2009,S3,Fire,15,6,1,North,tiny vaccinium ,Vaccinium caespitosum,11,5,2
2009,S3,Fire,15,6,1,North,Purple violet,Viola adunca,3,3,2
2009,S3,Fire,15,6,1,North,Racemose pussytoes,Antennaria racemosa,184,74,2
2010,F1,Forest,19,6,1,North,pink mountain heather,Phyllodoce empetriformis,7,3,0
2010,F1,Forest,19,6,1,South,Larger vaccinium,Vaccinium membranosum,34,19,0
2010,F1,Forest,19,6,1,South,pink mountain heather,Phyllodoce empetriformis,41,12,0
2010,F1,Forest,19,6,1,East,pink mountain heather,Phyllodoce empetriformis,6,1,0
2010,F1,Forest,19,6,1,East,Larger vaccinium,Vaccinium membranosum,8,6,0
2010,F1,Forest,19,6,1,East,white mountain heather,Cassiope mertensiana,4,1,0
2010,F1,Forest,19,6,1,West,pink mountain heather,Phyllodoce empetriformis,50,3,0
2010,F1,Forest,19,6,1,West,white mountain heather,Cassiope mertensiana,780,37,0
2010,F2,Forest,19,6,1,East,tiny vaccinium ,Vaccinium caespitosum,72,34,0
2010,F2,Forest,19,6,1,East,Larger vaccinium,Vaccinium membranosum,17,11,0
2010,F2,Forest,19,6,1,East,pink mountain heather,Phyllodoce empetriformis,78,14,0
2010,F2,Forest,19,6,1,East,Bog laurel,Kalmia microphylla,6,4,0
2010,F2,Forest,19,6,1,South,Larger vaccinium,Vaccinium membranosum,7,3,0
2010,F2,Forest,19,6,1,South,Bog laurel,Kalmia microphylla,38,23,0
2010,F2,Forest,19,6,1,South,arctic lupin,Lupinus arcticus ,3,1,0
2010,F2,Forest,19,6,1,South,tiny vaccinium ,Vaccinium caespitosum,266,67,0
2010,F2,Forest,19,6,1,South,pink mountain heather,Phyllodoce empetriformis,30,13,0
2010,F2,Forest,19,6,1,West,arnica,Arnica sp.,1,1,0
2010,F2,Forest,19,6,1,West,arctic lupin,Lupinus arcticus ,30,1,0
2010,F2,Forest,19,6,1,West,tiny vaccinium ,Vaccinium caespitosum,501,81,0
2010,F2,Forest,19,6,1,North,pink mountain heather,Phyllodoce empetriformis,25,9,0
2010,F2,Forest,19,6,1,North,Bog laurel,Kalmia microphylla,62,31,0
2010,F2,Forest,19,6,1,North,white mountain heather,Cassiope mertensiana,1,1,0
2010,F2,Forest,19,6,1,North,yellow violet,Viola sempervirens,14,14,0
2010,F2,Forest,19,6,1,North,sibbaldia,Sibbaldia procumbens,87,29,0
2010,F2,Forest,19,6,1,North,tiny vaccinium ,Vaccinium caespitosum,16,9,0
2010,F2,Forest,19,6,1,North,alpine buttercup,Ranunculus escholtzii,26,26,0
2018,F1,Forest,20,6,1,South,tiny vaccinium ,Vaccinium caespitosum,168,63,1
2018,F1,Forest,20,6,1,South,Larger vaccinium,Vaccinium membranosum,282,86,1
2018,F1,Forest,20,6,1,South,Bearberry,Arctostaphylos uva-ursi,33,13,1
2018,F1,Forest,20,6,1,North,tiny vaccinium ,Vaccinium caespitosum,29,10,1
2018,F1,Forest,20,6,1,North,Larger vaccinium,Vaccinium membranosum,254,116,1
2018,F1,Forest,20,6,1,North,Bearberry,Arctostaphylos uva-ursi,5,2,1
2018,F1,Forest,20,6,1,East,Bearberry,Arctostaphylos uva-ursi,19,7,1
2018,F1,Forest,20,6,1,East,tiny vaccinium ,Vaccinium caespitosum,12,7,1
2018,F1,Forest,20,6,1,East,Larger vaccinium,Vaccinium membranosum,174,62,1
2018,F1,Forest,20,6,1,West,Larger vaccinium,Vaccinium membranosum,21,15,1
2018,F1,Forest,20,6,1,West,Bearberry,Arctostaphylos uva-ursi,15,6,1
2018,F1,Forest,20,6,1,West,tiny vaccinium ,Vaccinium caespitosum,67,26,1
2018,S1,Fire,20,6,1,North,NA,NA,0,0,0
2018,S1,Fire,20,6,1,East,NA,NA,0,0,0
2018,S1,Fire,20,6,1,West,NA,NA,0,0,0
2018,S1,Fire,20,6,1,South,White flowered Rhododendron,Rhododendron albiflorum,2,2,0
2010,S2,Fire,21,6,1,North,Arnica,Arnica sp.,24,24,4
